composerNameFull,pieceName,pieceCode,pieceURL,pieceMovies
"ANDERSON, LEROY",Sleigh Ride,8.559125,https://www.naxos.com/catalogue/item.asp?item_code=8.559125,"Girl, Interrupted (1999)"
"ARNE, THOMAS AUGUSTINE",Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,Alphabet Murders (The) (1965)  BFG (The) (2016)  Charge of the Light Brigade (The)  Into the Arms of Strangers (2007)  Minions (2015)  Three Men and a Little Lady (1990)
"BACH, CARL PHILIPP EMANUEL","Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3""",8.572674,https://www.naxos.com/catalogue/item.asp?item_code=8.572674,Casanova (2015)
"BACH, JOHANN CHRISTIAN",Sinfonia in E-flat major: II. Andante con sordini,8.553085,https://www.naxos.com/catalogue/item.asp?item_code=8.553085,Vertigo (1958)
"BACH, JOHANN CHRISTIAN",String Quartet in B-flat major: II. Rondeau,8.557361,https://www.naxos.com/catalogue/item.asp?item_code=8.557361,Only You (1994)
"BACH, JOHANN SEBASTIAN","Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel)",8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,Gotter der Pest (Gods of the Plague) (1970)
"BACH, JOHANN SEBASTIAN",Ave Maria,8.553751,https://www.naxos.com/catalogue/item.asp?item_code=8.553751,28 Days Later (2002)  Mad Dogs and Englishmen (1995)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 1 in F major, BWV 1046: I. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Rounders (1988)  Running on Empty
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 1 in F major, BWV 1046: III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Rounders (1988)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 2 in F major, BWV 1047",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Romy and Michele's High School Reunion (1997)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 2 in F major, BWV 1047: II. Andante",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Black and White (1999)  Island of Dr Moreau (The)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Boxing Helena (1993)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048: I. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Die Hard (1988)  Hannibal (2001)  Lucky Break  Moll Flanders (1996)  Romy and Michele's High School Reunion (1997)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 3 in G major, BWV 1048: III. Allegro",8.554607,https://www.naxos.com/catalogue/item.asp?item_code=8.554607,Romy and Michele's High School Reunion (1997)  Spotlight (2015)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G major, BWV 1049",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,High-Rise (2015)
"BACH, JOHANN SEBASTIAN","Brandenburg Concerto No. 4 in G major, BWV 1049: I. Allegro",8.554608,https://www.naxos.com/catalogue/item.asp?item_code=8.554608,Cruel Intentions (1999)  Miracle (2004)
