composerName,readableComposerName,composerLastName,composerFirstName,musicPiece,itemCode,pieceURL,movieYear,movieTitle
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,Adagio,8.550014,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,1997,Welcome to Sarajevo 
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,Adagio,8.550014,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,2014,"Inbetweeners 2, The "
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,Adagio,8.550014,https://www.naxos.com/catalogue/item.asp?item_code=8.550014,2014,"Inbetweeners 2, The "
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,"Oboe Concerto in B-flat major, Op. 9, No. 11",8.550739,https://www.naxos.com/catalogue/item.asp?item_code=8.550739,2016,Elle 
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,"Oboe Concerto in B-flat major, Op. 9, No. 11",8.550739,https://www.naxos.com/catalogue/item.asp?item_code=8.550739,2016,Elle 
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,"Oboe Concerto in C major, Op. 7, No. 12",8.553035,https://www.naxos.com/catalogue/item.asp?item_code=8.553035,2018,Peter Rabbit 
"ALBINONI, TOMASO GIOVANNI",Tomaso Giovanni Albinoni,Albinoni, Tomaso Giovanni,"Oboe Concerto in C major, Op. 7, No. 12",8.553035,https://www.naxos.com/catalogue/item.asp?item_code=8.553035,2018,Peter Rabbit 
"ALFVEN, HUGO",Hugo Alfven,Alfven, Hugo,Swedish Rhapsody No. 1,8.55009,https://www.naxos.com/catalogue/item.asp?item_code=8.550090,1995,"Young Poisoner's Handbook, The "
"ALFVEN, HUGO",Hugo Alfven,Alfven, Hugo,Swedish Rhapsody No. 1,8.55009,https://www.naxos.com/catalogue/item.asp?item_code=8.550090,1995,"Young Poisoner's Handbook, The "
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,1987,Maurice 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,1987,Maurice 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,1997,Face/Off 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,1997,Face/Off 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,2000,Anatomy 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,2000,Anatomy 
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,need to find out,Angela's Ashes
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,need to find out,Angela's Ashes
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,need to find out,Chariots of Fire
"ALLEGRI, GREGORIO",Gregorio Allegri,Allegri, Gregorio,Miserere mei,8.550827,https://www.naxos.com/catalogue/item.asp?item_code=8.550827,need to find out,Chariots of Fire
"ANDERSON, LEROY",Leroy Anderson,Anderson, Leroy,Sleigh Ride,8.559125,https://www.naxos.com/catalogue/item.asp?item_code=8.559125,1999,"Girl, Interrupted "
"ANDERSON, LEROY",Leroy Anderson,Anderson, Leroy,Sleigh Ride,8.559125,https://www.naxos.com/catalogue/item.asp?item_code=8.559125,1999,"Girl, Interrupted "
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,1965,"Alphabet Murders, The "
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,1965,"Alphabet Murders, The "
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,1990,Three Men and a Little Lady 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,1990,Three Men and a Little Lady 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2007,Into the Arms of Strangers 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2007,Into the Arms of Strangers 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2015,Minions 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2015,Minions 
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2016,"BFG, The "
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,2016,"BFG, The "
"ARNE, THOMAS AUGUSTINE",Thomas Augustine Arne,Arne, Thomas Augustine,Rule Brittania,8.553961,https://www.naxos.com/catalogue/item.asp?item_code=8.553961,need to find out,"Charge of the Light Brigade, The"
