composerNameFull,pieceName,pieceCode,pieceURL,pieceMovies
"BACH, JOHANN SEBASTIAN","Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Autumn Sonata (1978)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 5 in C minor, BWV 1011: I. Prelude",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Casa Grande (2014) <br/> Homesick (I) (2015)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Cries and Whispers (1972)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 6 in D major, BWV 1012",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Another Woman (1988)</i>
"BACH, JOHANN SEBASTIAN","Cello Suite No. 6 in D major, BWV 1012: V. Gavotte I and II",8.557280-81,https://www.naxos.com/catalogue/item.asp?item_code=8.557280-81,<i>Hilary and Jackie (1998)</i>
"BACH, JOHANN SEBASTIAN","Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio",8.554606,https://www.naxos.com/catalogue/item.asp?item_code=8.554606,<i>Barry Lyndon (1975)</i>
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043",8.550194,https://www.naxos.com/catalogue/item.asp?item_code=8.550194,<i>Bad Company (2002) <br/> Music of the Heart (1999)</i>
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043 : I. Vivace",8.550194,https://www.naxos.com/catalogue/item.asp?item_code=8.550194,<i>Hannah and Her Sisters (1986) <br/> Hellraiser III: Hell on Earth (1992)</i>
"BACH, JOHANN SEBASTIAN","Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto",8.550194,https://www.naxos.com/catalogue/item.asp?item_code=8.550194,<i>Caveman's Valentine (The) (2001) <br/> Children of a Lesser God (1986) <br/> Island of Dr Moreau (The) <br/> Thor: Ragnarok (2017) <br/> Torrents of Spring (1989)</i>
"BACH, JOHANN SEBASTIAN","Concerto for 4 Harpsichords in A minor, BWV 1065",8.554606,https://www.naxos.com/catalogue/item.asp?item_code=8.554606,<i>Dangerous Liaisons (1988)</i>
"BACH, JOHANN SEBASTIAN","Concerto in the Italian Style, BWV 971, ""Italian Concerto"": I. Allegro",8.550709,https://www.naxos.com/catalogue/item.asp?item_code=8.550709,<i>Talented Mr Ripley (The) (1999)</i>
"BACH, JOHANN SEBASTIAN","Concerto in the Italian Style, BWV 971, ""Italian Concerto"": III. Presto",8.550709,https://www.naxos.com/catalogue/item.asp?item_code=8.550709,<i>Harvard Man (2001)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807",8.553012,https://www.naxos.com/catalogue/item.asp?item_code=8.553012,<i>Crimes and Misdemeanours (1989)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: I. Prelude",8.553012,https://www.naxos.com/catalogue/item.asp?item_code=8.553012,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: II. Allemande",8.553012,https://www.naxos.com/catalogue/item.asp?item_code=8.553012,<i>Unbreakable (2000)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: V. Bourree I and II",8.553012,https://www.naxos.com/catalogue/item.asp?item_code=8.553012,<i>Schindler's List (1993)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 2 in A minor, BWV 807: VI. Gigue",8.553012,https://www.naxos.com/catalogue/item.asp?item_code=8.553012,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","English Suite No. 5 in E minor, BWV 810: I. Prelude",8.553013,https://www.naxos.com/catalogue/item.asp?item_code=8.553013,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","Fantasia in C minor, BWV 562",8.553032,https://www.naxos.com/catalogue/item.asp?item_code=8.553032,<i>Favourite (The) (2018)</i>
"BACH, JOHANN SEBASTIAN","Flute Sonata in C major, BWV 1033: IV. Menuet I and II",8.553755,https://www.naxos.com/catalogue/item.asp?item_code=8.553755,<i>Perdita Durango (1997)</i>
"BACH, JOHANN SEBASTIAN","Flute Sonata in E-flat major, BWV 1031: II. Siciliano",8.553754,https://www.naxos.com/catalogue/item.asp?item_code=8.553754,<i>Breaking the Waves (1996)</i>
"BACH, JOHANN SEBASTIAN","French Suite No. 1 in D minor, BWV 812: III. Sarabande",8.550709,https://www.naxos.com/catalogue/item.asp?item_code=8.550709,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","Fugue in C major, BWV 952",NI5689-90,https://naxosmusiclibrary.com/catalogue/item.asp?cid=NI5689-90,<i>Unbreble (2000)</i>
"BACH, JOHANN SEBASTIAN","Fugue in C major, BWV 953",8.553097,https://www.naxos.com/catalogue/item.asp?item_code=8.553097,<i>Unbreakable (2000)</i>
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,<i>Last Castle (The) (2001) <br/> Love (II) (2015) <br/> Maurice (1987) <br/> Murder by Numbers (2002) <br/> No Letting Go (2015)</i>
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,<i>Before Sunrise (1995) <br/> English Patient (The) (1996) <br/> Hannibal (2001) <br/> Silence of the Lambs (The) (1991)</i>
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Aria and Variation 19",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: Variation 15",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,<i>Solaris (2002) <br/> Before Sunrise (1995) <br/> Hannibal (2001) <br/> Terminal Man (The) (1974)</i>
"BACH, JOHANN SEBASTIAN","Goldberg Variations, BWV 988: VIII. Variation 7",8.550078,https://www.naxos.com/catalogue/item.asp?item_code=8.550078,<i>Silence of the Lambs (The) (1991)</i>
"BACH, JOHANN SEBASTIAN","Harpsichord Concerto in D major, BWV 1054",8.550422,https://www.naxos.com/catalogue/item.asp?item_code=8.550422,<i>Love Story (1970)</i>
"BACH, JOHANN SEBASTIAN","Harpsichord Concerto in F minor, BWV 1056",8.550423,https://www.naxos.com/catalogue/item.asp?item_code=8.550423,<i>Well (The) (1997) <br/> Portrait of a Lady (The) (1996)</i>
"BACH, JOHANN SEBASTIAN","Harpsichord Concerto in F minor, BWV 1056: II. Largo",8.550423,https://www.naxos.com/catalogue/item.asp?item_code=8.550423,<i>Hannah and Her Sisters (1986) <br/> Lara Croft: Tomb Raider (2001) <br/> Primal Fear (1996) <br/> Slaughterhouse Five (1972)</i>
"BACH, JOHANN SEBASTIAN","Herz und Mund und Tat und Leben, BWV 147: Jesu, Joy of Man's Desiring (arr. for organ)",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,<i>Muppets Most Wanted (2014)</i>
"BACH, JOHANN SEBASTIAN","Herzlich tut mich verlagen, BWV 727",8.223452,https://www.naxos.com/catalogue/item.asp?item_code=8.223452,<i>Trainspotting (1996)</i>
"BACH, JOHANN SEBASTIAN","Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639",8.553032,https://www.naxos.com/catalogue/item.asp?item_code=8.553032,<i>Amour (2012) <br/> Dr Jekyll and Mr Hyde (1931) <br/> Nymphomaniac: Vol. I (2013) <br/> Solaris (2002)</i>
"BACH, JOHANN SEBASTIAN","Invention No. 1 in C major, BWV 772",8.550679,https://www.naxos.com/catalogue/item.asp?item_code=8.550679,<i>Still Breathing (1997)</i>
"BACH, JOHANN SEBASTIAN","Invention No. 8 in F major, BWV 779",8.550679,https://www.naxos.com/catalogue/item.asp?item_code=8.550679,<i>Boomerang (1992)</i>
"BACH, JOHANN SEBASTIAN","Invention No. 13 in A minor, BWV 784",8.550679,https://www.naxos.com/catalogue/item.asp?item_code=8.550679,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","Invention No. 14 in B-flat major, BWV 785",8.550679,https://www.naxos.com/catalogue/item.asp?item_code=8.550679,<i>Ice Storm (The) (1997)</i>
"BACH, JOHANN SEBASTIAN","Keyboard Concerto in D Minor, BWV 974 (arr of A. Marcello's Oboe Concerto): II. Adagio",8.572006-07,https://www.naxos.com/catalogue/item.asp?item_code=8.572006-07,<i>Fifty Shades of Grey (2015)</i>
"BACH, JOHANN SEBASTIAN","Lobet den Herrn, alle Heiden, BWV 230",8.553823,https://www.naxos.com/catalogue/item.asp?item_code=8.553823,<i>Oscar and Lucinda (1997)</i>
"BACH, JOHANN SEBASTIAN","Mass in B minor, BWV 232",8.550585-86,https://www.naxos.com/catalogue/item.asp?item_code=8.550585-86,<i>Me and Earl and the Dying Girl (2015)</i>
"BACH, JOHANN SEBASTIAN","Mass in B minor, BWV 232: Gloria in excelsis Deo",8.550585-86,https://www.naxos.com/catalogue/item.asp?item_code=8.550585-86,<i>Three Kings (1999)</i>
"BACH, JOHANN SEBASTIAN","Mass in B minor, BWV 232: Et resurrexit",8.550585-86,https://www.naxos.com/catalogue/item.asp?item_code=8.550585-86,<i>Man Trouble (1992)</i>
"BACH, JOHANN SEBASTIAN","Organ Concerto in A minor, BWV 593 (arr. of Vivaldi's Violin Concerto in A minor, RV 522)",8.550936,https://www.naxos.com/catalogue/item.asp?item_code=8.550936,<i>Scare Campaign (2016)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 1 in C major, BWV 1066: VI. Bourree I and II",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>Story of Us (The) (1999)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 2 in B minor, BWV 1067: VI. Minuet",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>Father of the Bride (1991)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 2 in B minor, BWV 1067: VII. Badinerie",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>Father of the Bride (1991) <br/> Spider-Man 2 (2004)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 3 in D major, BWV 1068",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,"<i>Below Utopia (1997) <br/> Beyond Utopia (1984) <br/> Bullets, Fangs and Dinner at 8 (2015)</i>"
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 3 in D major, BWV 1068: I. Ouverture",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>Hilary and Jackie (1998)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 3 in D major, BWV 1068: II. Air",8.550245,https://www.naxos.com/catalogue/item.asp?item_code=8.550245,<i>After Hours (1985) <br/> Devil's Advocate (The) (1997) <br/> Equals (2015) <br/> Heartbreakers (2001) <br/> I Married a Strange Person! (1997) <br/> Moll Flanders (1996) <br/> One Night Stand (1997) <br/> Runaway Bride (1999) <br/> Scouts Guide to the Zombie Apocalypse (2015) <br/> Seven (1995) <br/> Spy Who Loved Me (The) (1977)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 3 in D major, BWV 1068: III. Gavotte I and II",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>In the Line of Fire (1993)</i>
"BACH, JOHANN SEBASTIAN","Overture (Suite) No. 3 in D major, BWV 1068: IV. Bourree",8.554609,https://www.naxos.com/catalogue/item.asp?item_code=8.554609,<i>Master of Disguise (The) (2002)</i>
"BACH, JOHANN SEBASTIAN","Partita No. 1 in B-flat major, BWV 825",8.550692,https://www.naxos.com/catalogue/item.asp?item_code=8.550692,<i>Couch in New York (A) (1996) <br/> Lee Daniels' The Butler (I) (2013)</i>
"BACH, JOHANN SEBASTIAN","Partita No. 2 in D minor, BWV 1004: V. Ciaccona",8.550570,https://www.naxos.com/catalogue/item.asp?item_code=8.550570,<i>Joueur de violon (1994)</i>
"BACH, JOHANN SEBASTIAN","Partita No. 4 in D major, BWV 828: III. Courante",8.550693,https://www.naxos.com/catalogue/item.asp?item_code=8.550693,<i>Exposed (1983)</i>
"BACH, JOHANN SEBASTIAN","Passacaglia and Fugue in C minor, BWV 582: I. Passacaglia",8.553859,https://www.naxos.com/catalogue/item.asp?item_code=8.553859,<i>White Nights (1985)</i>
"BACH, JOHANN SEBASTIAN","Pastorale in F major, BWV 590: III. Aria",8.550184,https://www.naxos.com/catalogue/item.asp?item_code=8.550184,<i>Favourite (The) (2018)</i>
"BACH, JOHANN SEBASTIAN","Prelude and Fughetta in G major, BWV 902",8.550692,https://www.naxos.com/catalogue/item.asp?item_code=8.550692,<i>Unbreakable (2000)</i>
"BACH, JOHANN SEBASTIAN","Prelude in D minor, BWV 926",827969301623,https://naxosmusiclibrary.com/catalogue/item.asp?cid=827969301623,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>Hotel (2001) <br/> Japon (2002)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Aus Liebe will mein Heiland sterben!",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>You Can Count on Me (2000)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Erbarme dich",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>Divided We Fall (2000)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Erkenne mich, mein Huter",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>Come See the Paradise (1990)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen!",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>THX 1138 (1971)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Mache dich, mein Herze rein",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>Talented Mr Ripley (The) (1999)</i>
"BACH, JOHANN SEBASTIAN","St. Matthew Passion, BWV 244: Wir setzen uns mit Tranen nieder",8.550832-34,https://www.naxos.com/catalogue/item.asp?item_code=8.550832-34,<i>Casino (1995) <br/> White Room (1990)</i>
"BACH, JOHANN SEBASTIAN",The Art of Fugue: Counterpoint 9,696998775923,https://naxosmusiclibrary.com/catalogue/item.asp?cid=696998775923,<i>Glenn Gould (32 Short Films about) (1993)</i>
"BACH, JOHANN SEBASTIAN",The Art of Fugue: Counterpoints 3 and 11,696998775923,https://naxosmusiclibrary.com/catalogue/item.asp?cid=696998775923,<i>Fortress (1992)</i>
"BACH, JOHANN SEBASTIAN","The Well-Tempered Clavier Book I: Prelude and Fugue No. 1 in C major, BWV 846",8.553796-97,https://www.naxos.com/catalogue/item.asp?item_code=8.553796-97,<i>Baghdad Cafe (1987) <br/> Entrapment (1999) <br/> Glenn Gould (32 Short Films about) (1993) <br/> Mr Nobody (2009)</i>
"BACH, JOHANN SEBASTIAN","The Well-Tempered Clavier Book I: Prelude and Fugue No. 2 in C minor, BWV 847",8.553796-97,https://www.naxos.com/catalogue/item.asp?item_code=8.553796-97,<i>Chasing Amy (1997) <br/> Glenn Gould (32 Short Films about) (1993) <br/> Irrational Man (2015) <br/> Thick as Thieves</i>
"BACH, JOHANN SEBASTIAN","The Well-Tempered Clavier Book I: Prelude and Fugue No. 12 in F minor, BWV 857",8.553796-97,https://www.naxos.com/catalogue/item.asp?item_code=8.553796-97,<i>Alias Betty (Betty Fisher and other stories) (2001)</i>
"BACH, JOHANN SEBASTIAN","The Well-Tempered Clavier Book I: Prelude and Fugue No. 14 in F-sharp minor, BWV 859",8.553796-97,https://www.naxos.com/catalogue/item.asp?item_code=8.553796-97,<i>Glenn Gould (32 Short Films about) (1993)</i>
